英吉利语,现代白话,先秦文言,先秦文言略言（同全言则用“-”）
Woodcutter,樵夫,樵者,-2
Return to Nihil,回归虚无,归虚,-2
Rightful Heir,法定继承者,正嗣,-2
Roots,缠根,根缠,-2
Scrambler,扰频器,乱数者,-2
Made of Slime,史莱姆之身,胶躯,-2
Sporogenic,孢子囊,散孢,-2
Thick Skin,茂密皮毛,厚皮,-2
Volatile,易爆,躁爆,-2
Pebble,卵石,卵石,-2
Flagellated,鞭笞,鞭创,-2
Spores,孢子,孢,-2
Worms,裸虫,裸虫,-2
LatchParent,传花母本,遗契母本,-2
Adoration,虔敬,钦慕,-2
Bless,赐福,祐,-2
Blind Rage,盲怒,瞽怒,-2
Apostle,使徒,使徒,-2
Big Eyes,巨眼,巨目,-2
Dazzling,光耀,耀,-2
Long Arms,长臂,长臂,-2
Time Machine,时间机器,时机,-2
True Saviour,终焉救世主,真救主,-2
Unjust Scale,谬判天平,枉衡,-2
Quick Draw,快攻,先发,-2
Marksman,精准裁决,中的,-2
Big Bird,大鸟,大鸟,-2
Judgement Bird,审判鸟,谳鸟,-2
Punishing Bird,惩戒鸟,罚鸟,-2
Queen Bee,蜂后,蜂后,-2
manager,主管,主事,-2
Single Recall,单次召回,单召,-2
Total Recall,全部召回,皆召,-2
Reshuffle Decks,牌组重塑,复乱牌列,-2
Pink,粉红,绯,-2
Sap,汲取,汲,-2
Smile,微笑,笑,-2
Magical Girls,魔法少女,诸术少女,-2
Mimicry,拟态,拟态,-2
Sound of a Star,星之声,星声,-2
Three Birds,三只鸟,三鸟,-2
Today's Expression,今日表达,今容,-2
Enchanted,附魔,附魔,-2
Sin,罪,罪,-2
Yellow Brick Road,黄砖之路,黄砖路,-2
Through the Twilight,暮光穿行,穿暮,-2
Abnormal Bosses,异想体头目,异魁,-2
Abnormal Encounters,异变遭遇,异遇,-2
Miracle Worker,创迹者,奇迹者,-2
Single Recall Bottle,瓶中单次召回,瓶中单召,-2
Total Recall Bottle,瓶中全部召回,瓶中皆召,-2
Experiment,实验体,试体,-2
sun,阳光,日芒,-2
Night time,夜幕降临,夜至,-2
SunBoost,阳光激励,增晖,-2
SunKill,阳光杀戮,杀取晖,-2
SunMaker,阳光生产,生晖,-2
Peashooter,豌豆射手,豌豆射手,-2
Homing Thistle,导向蓟,逐的蓟,-2
Sunflower,向日葵,日葵,-2
Twin Sunflower,双子向日葵,双生日葵,-2
Wallnut,坚果墙,坚果垣,-2
The original seeds,原始种子,原种,-2
The midnight crew,午夜员工,夜半众,-2
The Zen Garden,禅境花园,禅园,-2
Armor breaker,装甲破坏者,破甲,-2
DoomBringer,末日使者,赍末,-2
Fade Away,逐渐消失,渐灭,-2
Hard Headed,头脑冷静,坚首,-2
Hypnotist,魅惑师,惑心,-2
Zombie Caller,僵尸号召,召尸,-2
Card Pack,卡包,牌韬,-2
Hot Meat,热辣鲜肉,燠肉,-2
Mycologist Saw,菌学家之锯,蕈家锯,-2
Teeth Jar,牙齿罐子,齿罂,-2
Meat Cake,血肉蛋糕,肉糕,-2
Trap,陷阱,阱,-2
Dino-Mod Card Pack,恐龙模组卡包,恐龙牌韬,-2
Unknown Hatchling,未知孵化,未知雏,-2
Crumbling,摇摇欲坠,崩朽,-2
Roar of Terror,恐吓咆哮,恐吼,-2
Experimental Vial,实验药瓶,试罂,-2
Borrowed Time,借来的时间,假时,-2
Coins Within,内心之币,藏箔,-2
Treasure Tracker,寻宝者,寻宝,-2
Aga's Magnificus Expansion,Aga的蔓尼菲科模组扩展,Aga氏蔓尼菲科扩篇,-2
Acid Aura,尖酸气质,酸晕,-2
Awakening,羽化登仙,启化,-2
Backfire Strike,反噬打击,反噬击,-2
Blood Guzzler,鲜血吞噬者,嗜血,-2
Deluge,洪流,洪漫,-2
Sentry,哨兵,戍者,-2
Healing Aura,治愈光环,疗晕,-2
Heart Stealer,偷心者,夺心者,-2
Psystrike,精神破坏,神击,-2
Serpent Master,训蛇大师,御蛇,-2
Shadow Strike,幻影冲击,影击,-2
Tidal Lock,潮汐锁定,潮缚,-2
Wizard's Heart,巫师之心,巫心,-2
Smughtro's MagMod Expansion,Smughtro的蔓尼菲科模组扩展,Smughtro氏蔓尼菲科扩篇,-2
Death Assist,死亡援助,死援,-2
Emmental Elemental,芝士元素,酪元,-2
First Strike,首次打击,先击,-2
Unknown Hatching,未知孵化,未知孚,-2
Mana Mess,魔力混沌,法乱,-2
Flowey,小花,小花,-2
Omega Flowey,终极小花,极小花,-2
Bad Omen,不祥之兆,凶征,-2
Rancor,怨煞,怨煞,-2
SoothingMeadows,宁谧芳原,宁原,-2
PartingStroke,临终之笔,诀笔,-2
Harbinger,先驱者,先驱,-2
Possessed Limbs,异肢,祟肢,-2
Soulgate,魂域之门,魂域门,-2
Revenant Mod Card Pack,复生亡灵模组卡包,复生亡灵补缀牌韬,-2
Pass-through,畅通无阻,洞彻,-2
Spam Call,骚扰电话,扰讯,-2
A Call for Help,求救电话,呼援,-2
Run Forth,奋勇突进,前赴,-2
Again,再一次,复一,-2
Runes,卢恩符文,卢恩文,-2
Archived,归档锁定,归档,-2
Foundation,核心基底,基,-2
Final Boss v2,双阶段进阶头目战,终魁二段,-2
Funeral,葬礼,殡,-2
Helper,助人者,助者,-2
Card Pack:Rooflings,顶檐人物卡包,顶檐人物牌韬,-2
Card Pack: StarCraft,星际争霸卡包,星际争霸牌韬,-2
Legends From The Darkness,来自黑暗的传说,闇中诸传,-2
Science Vessel,科学船,科学舟,-2
SCV,太空工程车,工车,-2
Shuttle,穿梭机,梭机,-2
The Hunter,狩猎者,猎者,-2
The Hunter's Bible,狩猎宝典,猎者经,-2
Jiangshi,中国僵尸,僵尸,-2
superstar,超级巨星,巨星,-2
phase,回合/阶段,段,-2
Apex Predator,顶级掠食者,魁猎,-2
Legends From The Darkness: Encounters,来自黑暗的传说：遭遇战,闇中诸传：遭遇,-2
Gareth's Mod,加雷斯的模组,Gareth氏补缀,-2
Allies,盟友,盟友,-2
Essence Steal,精髓窃取,夺精,-2
Hungry,饥饿,饕,-2
Max Energy Gamble,最大能量豪赌,极能豪赌,-2
Royal Jelly,蜂皇浆,王浆,-2
Myconid,真菌人,菌人,-2
Bone Totem,骸骨图腾,骨偶,-2
Repentance,忏悔,悔,-2
Hell Strike,地狱打击,狱击,-2
Remnant,残响,馀响,-2
Restart,重新开始,复始,-2
Powerleech,噬能水蛭,噬能蛭,-2
Hand Unit,手持终端,手元机,-2
Five Nights at Inscryption,邪恶冥刻：玩具熊的五夜后宫,《冥锲》五夜,-2
